DESCRICAO;CUL;DRO;EDU;EMP;ESP;HAB;INF;MAM;MOB;SEG;SAU;SOC;
INCLUI;0;0;0;0;0;0;0;0;0;0;0;0
ART;0;0;0;0;0;0;0;0;0;0;0;0
LEI;0;0;0;0;0;0;0;0;0;0;0;0
DEZEMBRO;0;0;0;0;0;0;0;0;0;0;0;0
QUE;0;0;0;0;0;0;0;0;0;0;0;0
ESTABELECE;0;0;0;0;0;0;0;0;0;0;0;0
SISTEMA;0;0;0;0;0;0;0;0;0;0;0;0
CLASSIFICACAO;0;0;0;0;0;0;0;0;0;0;0;0
CARGOS;0;0;0;0;0;0;0;0;0;0;0;0
FUNCOES;0;0;0;0;0;0;0;0;0;0;0;0
CAMARA;0;0;0;0;0;0;0;0;0;0;0;0
MUNICIPAL;0;0;0;0;0;0;0;0;0;0;0;0
PORTO;0;0;0;0;0;0;0;0;0;0;0;0
ALEGRE;0;0;0;0;0;0;0;0;0;0;0;0
OUTRAS;0;0;0;0;0;0;0;0;0;0;0;0
PROVIDENCIAS;0;0;0;0;0;0;0;0;0;0;0;0
ALTERACOES;0;0;0;0;0;0;0;0;0;0;0;0
POSTERIORES;0;0;0;0;0;0;0;0;0;0;0;0
CRIANDO;0;0;0;0;0;0;0;0;0;0;0;0
GRATIFICACAO;0;0;0;0;0;0;0;0;0;0;0;0
PELO;0;0;0;0;0;0;0;0;0;0;0;0
EXERCICIO;0;0;0;0;0;0;0;0;0;0;0;0
ATIVIDADES;0;0;0;0;0;0;0;0;0;0;0;0
ESPECIAIS;0;0;0;0;0;0;0;0;0;0;0;0
APOIO;0;0;0;0;0;0;0;0;0;0;0;0
EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
GEA;0;0;0;0;0;0;0;0;0;0;0;0
DANDO;0;0;0;0;0;0;0;0;0;0;0;0
PELA;0;0;0;0;0;0;0;0;0;0;0;0
ATIVIDADE;0;0;0;0;0;0;0;0;0;0;0;0
SEGURANCA;0;0;0;0;0;0;0;0;0;0;0;0
PARLAMENTAR;0;0;0;0;0;0;0;0;0;0;0;0
GASP;0;0;0;0;0;0;0;0;0;0;0;0
OUTROS;0;0;0;0;0;0;0;0;0;0;0;0
EFEMERIDE;0;0;0;0;0;0;0;0;0;0;0;0
DIA;0;0;0;0;0;0;0;0;0;0;0;0
PREMATURIDADE;0;0;0;0;0;0;0;0;0;0;0;0
ANEXO;0;0;0;0;0;0;0;0;0;0;0;0
MAIO;0;0;0;0;0;0;0;0;0;0;0;0
CALENDARIO;0;0;0;0;0;0;0;0;0;0;0;0
DATAS;0;0;0;0;0;0;0;0;0;0;0;0
COMEMORATIVAS;0;0;0;0;0;0;0;0;0;0;0;0
CONSCIENTIZACAO;0;0;0;0;0;0;0;0;0;0;0;0
MUNICIPIO;0;0;0;0;0;0;0;0;0;0;0;0
NOVEMBRO;0;0;0;0;0;0;0;0;0;0;0;0
PARAGRAFO;0;0;0;0;0;0;0;0;0;0;0;0
PARAGRAFOS;0;0;0;0;0;0;0;0;0;0;0;0
INSTITUI;0;0;0;0;0;0;0;0;0;0;0;0
FINANCEIRO;0;0;0;0;0;0;0;0;0;0;0;0
ADMINISTRACAO;0;0;0;0;0;0;0;0;0;0;0;0
CENTRALIZADA;0;0;0;0;0;0;0;0;0;0;0;0
SICAF;0;0;0;0;0;0;0;0;0;0;0;0
COMO;0;0;0;0;0;0;0;0;0;0;0;0
INSTRUMENTO;0;0;0;0;0;0;0;0;0;0;0;0
CENTRALIZACAO;0;0;0;0;0;0;0;0;0;0;0;0
CONTA;0;0;0;0;0;0;0;0;0;0;0;0
BANCARIA;0;0;0;0;0;0;0;0;0;0;0;0
UNICA;0;0;0;0;0;0;0;0;0;0;0;0
DOS;0;0;0;0;0;0;0;0;0;0;0;0
RECURSOS;0;0;0;0;0;0;0;0;0;0;0;0
FINANCEIROS;0;0;0;0;0;0;0;0;0;0;0;0
PODER;0;0;0;0;0;0;0;0;0;0;0;0
EXECUTIVO;0;0;0;0;0;0;0;0;0;0;0;0
CAPITULO;0;0;0;0;0;0;0;0;0;0;0;0
TITULO;0;0;0;0;0;0;0;0;0;0;0;0
III;0;0;0;0;0;0;0;0;0;0;0;0
COMPLEMENTAR;0;0;0;0;0;0;0;0;0;0;0;0
DISCIPLINA;0;0;0;0;0;0;0;0;0;0;0;0
TRIBUTOS;0;0;0;0;0;0;0;0;0;0;0;0
COMPETENCIA;0;0;0;0;0;0;0;0;0;0;0;0
NORMAS;0;0;0;0;0;0;0;0;0;0;0;0
GERAIS;0;0;0;0;0;0;0;0;0;0;0;0
DIREITO;0;0;0;0;0;0;0;0;0;0;0;0
TRIBUTARIO;0;0;0;0;0;0;0;0;0;0;0;0
DISPOE;0;0;0;0;0;0;0;0;0;0;0;0
SOBRE;0;0;0;0;0;0;0;0;0;0;0;0
REGULARIZACAO;0;0;0;0;0;0;0;0;0;0;0;0
DEBITOS;0;0;0;0;0;0;0;0;0;0;0;0
DAS;0;0;0;0;0;0;0;0;0;0;0;0
INSTITUICOES;0;0;0;0;0;0;0;0;0;0;0;0
CONVENIADAS;0;0;0;0;0;0;0;0;0;0;0;0
COM;0;0;0;0;0;0;0;0;0;0;0;0
MANTIDAS;0;0;0;0;0;0;0;0;0;0;0;0
ESTADO;0;0;0;0;0;0;0;0;0;0;0;0
CADASTRADAS;0;0;0;0;0;0;0;0;0;0;0;0
BENEFICIARIAS;0;0;0;0;0;0;0;0;0;0;0;0
TARIFA;0;0;0;0;0;0;0;0;0;0;0;0
SOCIAL;0;0;0;0;0;0;0;0;0;0;0;0
DEPARTAMENTO;0;0;0;0;0;0;0;0;0;0;0;0
AGUA;0;0;0;0;0;0;0;0;0;0;0;0
ESGOTOS;0;0;0;0;0;0;0;0;0;0;0;0
DMAE;0;0;0;0;0;0;0;0;0;0;0;0
DECORRENTES;0;0;0;0;0;0;0;0;0;0;0;0
PRESTACAO;0;0;0;0;0;0;0;0;0;0;0;0
SERVICOS;0;0;0;0;0;0;0;0;0;0;0;0
ABASTECIMENTO;0;0;0;0;0;0;0;0;0;0;0;0
REMOCAO;0;0;0;0;0;0;0;0;0;0;0;0
CRIA;0;0;0;0;0;0;0;0;0;0;0;0
PROVIMENTO;0;0;0;0;0;0;0;0;0;0;0;0
EFETIVO;0;0;0;0;0;0;0;0;0;0;0;0
PROFESSOR;0;0;0;0;0;0;0;0;0;0;0;0
CONSTANTE;0;0;0;0;0;0;0;0;0;0;0;0
JULHO;0;0;0;0;0;0;0;0;0;0;0;0
MONITOR;0;0;0;0;0;0;0;0;0;0;0;0
CONSTANTES;0;0;0;0;0;0;0;0;0;0;0;0
ALTERA;0;0;0;0;0;0;0;0;0;0;0;0
INCS;0;0;0;0;0;0;0;0;0;0;0;0
AUTORIZA;0;0;0;0;0;0;0;0;0;0;0;0
PRORROGAR;0;0;0;0;0;0;0;0;0;0;0;0
PRAZOS;0;0;0;0;0;0;0;0;0;0;0;0
CONTRATOS;0;0;0;0;0;0;0;0;0;0;0;0
CONCESSAO;0;0;0;0;0;0;0;0;0;0;0;0
USO;0;0;0;0;0;0;0;0;0;0;0;0
EMPRESA;0;0;0;0;0;0;0;0;0;0;0;0
PETROBRAS;0;0;0;0;0;0;0;0;0;0;0;0
DISTRIBUIDORA;0;0;0;0;0;0;0;0;0;0;0;0
AMBITO;0;0;0;0;0;0;0;0;0;0;0;0
CENTRAL;0;0;0;0;0;0;0;0;0;0;0;0
CONCILIACAO;0;0;0;0;0;0;0;0;0;0;0;0
COMPOSTA;0;0;0;0;0;0;0;0;0;0;0;0
INDENIZACOES;0;0;0;0;0;0;0;0;0;0;0;0
ADMINISTRATIVAS;0;0;0;0;0;0;0;0;0;0;0;0
MEDIACAO;0;0;0;0;0;0;0;0;0;0;0;0
PRECATORIOS;0;0;0;0;0;0;0;0;0;0;0;0
INC;0;0;0;0;0;0;0;0;0;0;0;0
CAPUT;0;0;0;0;0;0;0;0;0;0;0;0
SETEMBRO;0;0;0;0;0;0;0;0;0;0;0;0
PARA;0;0;0;0;0;0;0;0;0;0;0;0
IMPLANTACAO;0;0;0;0;0;0;0;0;0;0;0;0
HELIPONTOS;0;0;0;0;0;0;0;0;0;0;0;0
CONSIDERANDO-OS;0;0;0;0;0;0;0;0;0;0;0;0
ESPECIAL;0;0;0;0;0;0;0;0;0;0;0;0
DISPONDO;0;0;0;0;0;0;0;0;0;0;0;0
SUA;0;0;0;0;0;0;0;0;0;0;0;0
LOCALIZACAO;0;0;0;0;0;0;0;0;0;0;0;0
